Movie_Title,Budgets
"<a href=""/movie/Star-Trek#tab=summary"">Star Trek</a>","$140,000,000"
"<a href=""/movie/Armageddon#tab=summary"">Armageddon</a>","$140,000,000"
"<a href=""/movie/Men-in-Black-2#tab=summary"">Men in Black 2</a>","$140,000,000"
"<a href=""/movie/Captain-America-The-First-Avenger#tab=summary"">Captain America: The First Avenger</a>","$140,000,000"
"<a href=""/movie/Kung-Fu-Panda-3#tab=summary"">Kung Fu Panda 3</a>","$140,000,000"
"<a href=""/movie/Lethal-Weapon-4#tab=summary"">Lethal Weapon 4</a>","$140,000,000"
"<a href=""/movie/GI-Joe-Retaliation#tab=summary"">G.I. Joe: Retaliation</a>","$140,000,000"
"<a href=""/movie/Last-Samurai-The#tab=summary"">The Last Samurai</a>","$140,000,000"
"<a href=""/movie/Fun-With-Dick-And-Jane#tab=summary"">Fun With Dick And Jane</a>","$140,000,000"
"<a href=""/movie/Exodus-Gods-and-Kings#tab=summary"">Exodus: Gods and Kings</a>","$140,000,000"
"<a href=""/movie/BFG-The-(2016)#tab=summary"">The BFG</a>","$140,000,000"
"<a href=""/movie/Gemini-Man-(2019)#tab=summary"">Gemini Man</a>","$140,000,000"
"<a href=""/movie/Gods-of-Egypt#tab=summary"">Gods of Egypt</a>","$140,000,000"
"<a href=""/movie/Top-Gun-Maverick-(2020)#tab=summary"">Top Gun: Maverick</a>","$140,000,000"
"<a href=""/movie/Spider-Man#tab=summary"">Spider-Man</a>","$139,000,000"
"<a href=""/movie/Watchmen#tab=summary"">Watchmen</a>","$138,000,000"
"<a href=""/movie/Stealth#tab=summary"">Stealth</a>","$138,000,000"
"<a href=""/movie/Incredible-Hulk-The#tab=summary"">The Incredible Hulk</a>","$137,500,000"
"<a href=""/movie/Hulk#tab=summary"">Hulk</a>","$137,000,000"
"<a href=""/movie/Final-Fantasy-The-Spirits-Within#tab=summary"">Final Fantasy: The Spirits Within</a>","$137,000,000"
"<a href=""/movie/Twilight-Saga-Breaking-Dawn-Part-2-The#tab=summary"">The Twilight Saga: Breaking Dawn, Part 2</a>","$136,200,000"
"<a href=""/movie/Croods-The#tab=summary"">The Croods</a>","$135,000,000"
"<a href=""/movie/Revenant-The-(2015)#tab=summary"">The Revenant</a>","$135,000,000"
"<a href=""/movie/World-is-Not-Enough-The#tab=summary"">The World is Not Enough</a>","$135,000,000"
"<a href=""/movie/Rango#tab=summary"">Rango</a>","$135,000,000"
"<a href=""/movie/Master-and-Commander-The-Far-Side-of-the-World#tab=summary"">Master and Commander: The Far Side of the World</a>","$135,000,000"
"<a href=""/movie/Turbo#tab=summary"">Turbo</a>","$135,000,000"
"<a href=""/movie/Teenage-Mutant-Ninja-Turtles-Out-of-the-Shadows#tab=summary"">Teenage Mutant Ninja Turtles: Out of the Shadows</a>","$135,000,000"
"<a href=""/movie/Happy-Feet-2#tab=summary"">Happy Feet Two</a>","$135,000,000"
"<a href=""/movie/Miami-Vice#tab=summary"">Miami Vice</a>","$135,000,000"
"<a href=""/movie/Nutcracker-and-the-Four-Realms-The-(2018)#tab=summary"">The Nutcracker and the Four Realms</a>","$132,900,000"
"<a href=""/movie/War-of-the-Worlds#tab=summary"">War of the Worlds</a>","$132,000,000"
"<a href=""/movie/Penguins-of-Madagascar#tab=summary"">Penguins of Madagascar</a>","$132,000,000"
"<a href=""/movie/Hunger-Games-Catching-Fire-The#tab=summary"">The Hunger Games: Catching Fire</a>","$130,000,000"
"<a href=""/movie/Harry-Potter-and-the-Prisoner-of-Azkaban#tab=summary"">Harry Potter and the Prisoner of Azkaban</a>","$130,000,000"
"<a href=""/movie/Bourne-Ultimatum-The#tab=summary"">The Bourne Ultimatum</a>","$130,000,000"
"<a href=""/movie/Ant-Man-and-the-Wasp#tab=summary"">Ant-Man and the Wasp</a>","$130,000,000"
"<a href=""/movie/Kung-Fu-Panda#tab=summary"">Kung Fu Panda</a>","$130,000,000"
"<a href=""/movie/Ant-Man#tab=summary"">Ant-Man</a>","$130,000,000"
"<a href=""/movie/Home-(2015)#tab=summary"">Home</a>","$130,000,000"
"<a href=""/movie/Mary-Poppins-Returns-(2018)#tab=summary"">Mary Poppins Returns</a>","$130,000,000"
"<a href=""/movie/Puss-in-Boots#tab=summary"">Puss in Boots</a>","$130,000,000"
"<a href=""/movie/Megamind#tab=summary"">Megamind</a>","$130,000,000"
"<a href=""/movie/Bad-Boys-II#tab=summary"">Bad Boys II</a>","$130,000,000"
"<a href=""/movie/Rio-2#tab=summary"">Rio 2</a>","$130,000,000"
"<a href=""/movie/Salt#tab=summary"">Salt</a>","$130,000,000"
"<a href=""/movie/Noah#tab=summary"">Noah</a>","$130,000,000"
"<a href=""/movie/Adventures-of-Tintin-The#tab=summary"">The Adventures of Tintin</a>","$130,000,000"
"<a href=""/movie/After-Earth#tab=summary"">After Earth</a>","$130,000,000"
"<a href=""/movie/Australia#tab=summary"">Australia</a>","$130,000,000"
"<a href=""/movie/RIPD#tab=summary"">R.I.P.D.</a>","$130,000,000"
